+--------+--------------------+--------------------+----------+
| Epochs |   Training Cost    |  Validation Cost   | Accuracy |
+--------+--------------------+--------------------+----------+
|   0    | 8.149378095562758  | 8.067929928502698  |  0.1674  |
|   1    | 7.3607117659074985 | 7.531152494542516  |  0.2133  |
|   2    | 6.390896096196776  | 6.743159517450245  |  0.2523  |
|   3    |  9.13873969649104  | 9.542332455987596  |  0.2271  |
|   4    | 6.876014618551734  | 7.311940853397534  |  0.2606  |
|   5    | 7.743411057534858  | 8.239104170169824  |  0.2521  |
|   6    | 6.655298416816344  | 7.162104966565884  |  0.2664  |
|   7    | 6.890363101952405  | 7.433456180339398  |  0.2638  |
|   8    | 6.630505031605424  | 7.195395756774345  |  0.2664  |
|   9    | 6.419612257341928  | 7.005617737594007  |   0.27   |
|   10   | 6.202358287946698  | 6.808150913094711  |  0.2723  |
|   11   | 6.002153565930315  | 6.627023519442054  |  0.2757  |
|   12   | 5.842078549937693  | 6.484894577489658  |  0.2781  |
|   13   | 5.700739113840313  | 6.359567788712497  |   0.28   |
|   14   | 5.557089561452758  | 6.228730593836221  |  0.2836  |
|   15   | 5.356551443757631  | 6.029613873776185  |  0.2839  |
|   16   | 7.383436476999993  | 7.934806525670385  |  0.2728  |
|   17   | 6.188360895144097  | 6.8031227168654285 |  0.285   |
|   18   | 6.1218819600366245 | 6.729554164128268  |  0.2859  |
|   19   | 6.163548185388114  | 6.786372551956171  |  0.2876  |
|   20   | 6.440334189563973  | 7.125024010291996  |  0.2793  |
|   21   | 6.1079017951282655 | 6.787188131625691  |  0.2844  |
|   22   | 5.731084276841662  | 6.374965152396925  |  0.2909  |
|   23   | 4.682609161585101  | 5.326077935447137  |  0.2991  |
|   24   | 6.0418341804324704 | 6.763202610929721  |  0.2771  |
|   25   | 5.330437451244598  | 5.999643062143196  |  0.2841  |
|   26   | 5.1767923222309715 | 5.861316889112235  |  0.2864  |
|   27   |  5.29147813549986  | 5.993988479965347  |  0.2862  |
|   28   | 5.035854338076546  | 5.746887247292622  |  0.2841  |
|   29   | 5.168576907928751  |  5.95105520523882  |  0.2817  |
|   30   | 4.246970330073145  | 4.982923415794883  |  0.3001  |
|   31   | 7.538188515178146  | 8.488672182501722  |  0.248   |
|   32   | 6.864848645200441  | 7.779803424707945  |  0.2776  |
|   33   | 5.7140062327274315 | 6.6692918990475185 |  0.2848  |
|   34   | 6.243568899985455  | 7.194491715068457  |  0.2879  |
|   35   | 5.472203234085116  | 6.376953264559769  |  0.2927  |
|   36   | 5.304612892339168  |  6.28734380717771  |  0.2868  |
|   37   | 5.899905531306525  | 6.901816009890693  |  0.2744  |
|   38   | 5.439683833413857  | 6.373674025660222  |  0.2723  |
|   39   | 6.102237508974412  | 7.071589956414214  |  0.2662  |
+--------+--------------------+--------------------+----------+
